id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
14376,Ir0.26Mo0.74,6.70 ,1961,"HELV.PHYS.ACTA,343(1961)843",14436,cubic,Pm-3n,125.21,12.73,5,5,5,90,90,90
14377,Ir0.2Os1.8Th1,2.93 ,1982,10.1016/0022-5088(82)90285-5,14377,cubic,Fm-3m,292.1,18.3,6.64,6.64,6.64,90,90,90
14378,Ir0.2Ru1.8Th1,3.10 ,1982,10.1016/0022-5088(82)90285-5,15542,cubic,Fd-3m1,111.61,12.92,5.4,5.4,5.4,60,60,60
14379,Ir0.32Ru0.68,0.18 ,1971,10.1016/0031-8914(71)90310-7,14375,hexagonal,P6_3/mmc,109.78,14.99,5.42,5.42,4.31,90,90,120
14380,Ir0.3Nb3Rh0.7,NaN,,10.1103/PhysRev.137.A1438,15033,cubic,Pm-3n,138.31,9.16,5.17,5.17,5.17,90,90,90
14381,Ir0.43Ru0.57,0.18 ,1971,10.1016/0031-8914(71)90310-7,14381,hexagonal,P-6m2,27.85,17.49,2.72,2.72,4.33,89.97,90.03,120
14382,Ir0.49Mo0.51,1.81 ,1971,10.1016/0031-8914(71)90310-7,14435,orthorhombic,Pmma,59.18,16.17,2.76,4.45,4.82,90,90,90
14383,Ir0.55Re0.15,0.61 ,1968,10.1103/PhysRev.165.533,14383,trigonal,R-3mH,58.66,21.6,9.14,9.14,9.14,17.27,17.27,17.27
14384,Ir1Os1,2.40 ,,,14384,hexagonal,P-6m2,28.43,22.34,2.74,2.74,4.36,90,90,120
14385,Ir0.5Te0.5,3.00 ,1965,10.1016/0022-3697(65)90244-1,14385,hexagonal,P6_3/mmc,82.92,12.81,4.11,4.11,5.66,90,90,120
14386,Ir0.69Y0.31,1.98 ,,,14482,cubic,Fd-3m1,107.57,14.61,5.34,5.34,5.34,60,60,60
14387,Ir0.71Mo0.29,0.12 ,1971,10.1016/0031-8914(71)90310-7,14388,hexagonal,P6_3/mmc,115.59,19.32,5.51,5.51,4.4,90,90,120
14388,Ir3Mo1,0.13 ,1971,10.1016/0031-8914(71)90310-7,14388,hexagonal,P6_3/mmc,115.59,19.32,5.51,5.51,4.4,90,90,120
14389,Ir3Os1,0.40 ,1968,10.1103/PhysRev.165.533,14389,cubic,Pm-3m,56.98,22.35,3.85,3.85,3.85,90,90,90
14390,Ir3Rh1,0.03 ,1968,10.1103/PhysRev.165.533,14390,tetragonal,I4/mmm,56.61,19.93,4.7,4.7,4.7,131.85,131.85,70.47
14391,Ir0.7Nb3Rh0.3,NaN,,10.1103/PhysRev.137.A1438,14439,cubic,Pm-3n,138.36,11.3,5.17,5.17,5.17,90,90,90
14392,Ir0.7Os0.3,0.48 ,1968,10.1103/PhysRev.165.533,14389,cubic,Pm-3m,56.98,22.35,3.85,3.85,3.85,90,90,90
14393,Ir0.7Re0.3,1.70 ,1968,10.1103/PhysRev.165.533,14393,hexagonal,P6_3/mmc,114.8,22.07,5.5,5.5,4.38,90,90,120
14394,Ir0.7Rh0.3,NaN,,10.1103/PhysRev.165.533,14405,cubic,Pm-3m,56.64,19.92,3.84,3.84,3.84,90,90,90
14395,Ir0.7Y0.3,2.16 ,1965,10.1103/PhysRev.137.A119,14482,cubic,Fd-3m1,107.57,14.61,5.34,5.34,5.34,60,60,60
14396,Ir0.815Rh0.185,0.03 ,1968,10.1103/PhysRev.165.533,14405,cubic,Pm-3m,56.64,19.92,3.84,3.84,3.84,90,90,90
14397,Ir0.82Mo0.18,0.50 ,1968,10.1103/PhysRev.165.533,14388,hexagonal,P6_3/mmc,115.59,19.32,5.51,5.51,4.4,90,90,120
14398,Ir0.85Nb0.15Pt3,NaN,,,14398,cubic,Pm-3m,61.69,20.93,3.95,3.95,3.95,90,90,90
14399,Ir0.85Pt0.15Te2,NaN,,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14400,Ir0.85Rh0.15Te2,2.39 ,2013,10.7566/JPSJ.82.085001,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14401,Ir0.88Pt0.12Te2,1.92 ,2013,10.1016/j.physc.2013.04.055,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14402,Ir0.8Os1.2Th1,3.22 ,1982,10.1016/0022-5088(82)90285-5,14441,orthorhombic,Imma,115.34,17.69,5.51,5.51,5.51,123.34,119.69,87.43
14403,Ir0.8Pt0.2Te2,NaN,,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14404,Ir0.8Re0.2,0.66 ,1968,10.1103/PhysRev.165.533,14393,hexagonal,P6_3/mmc,114.8,22.07,5.5,5.5,4.38,90,90,120
14405,Ir0.8Rh0.2,0.03 ,1968,10.1103/PhysRev.165.533,14405,cubic,Pm-3m,56.64,19.92,3.84,3.84,3.84,90,90,90
14406,Ir0.92Pt0.08Te2,2.49 ,2013,10.1016/j.physc.2013.04.055,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14407,Ir0.93Te2,4.70 ,2012,10.1103/PhysRevLett.109.217002,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14408,Ir0.94Pt0.06Te2,2.69 ,2012,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14409,Ir0.95Pd0.05Te2,2.50 ,2014,10.1103/PhysRevB.89.100501,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14410,Ir0.95Pt0.05Te2,2.92 ,2016,10.1103/PhysRevB.94.184504,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14411,Ir0.95Te2,4.68 ,2013,10.1103/PhysRevB.87.224504,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14412,Ir0.96Pd0.04Te2,2.99 ,2012,10.1103/PhysRevLett.108.116402,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14413,Ir0.96Pt0.04Te2,3.00 ,2013,10.1016/j.physc.2013.04.055,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14414,Ir0.96Rh0.04Te2,NaN,,10.7566/JPSJ.82.085001,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14415,Ir0.97Pd0.03Te2,2.70 ,2012,10.1103/PhysRevLett.108.116402,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14416,Ir0.97Pt0.03Te2,3.07 ,2012,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14417,Ir0.98Pt0.02Te2,2.86 ,2012,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14418,Ir0.99Pd0.01Te2,NaN,,10.1103/PhysRevLett.108.116402,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14419,Ir0.99Pt0.01Te2,2.05 ,2012,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14420,Ir0.9Nb3Rh0.1,NaN,,10.1103/PhysRev.137.A1438,14439,cubic,Pm-3n,138.36,11.3,5.17,5.17,5.17,90,90,90
14421,Ir0.9Pt0.1Te2,NaN,,10.1143/JPSJ.81.053701,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14422,Ir0.9Rh0.1Te2,2.61 ,2013,10.7566/JPSJ.82.085001,15784,orthorhombic,Pnma,293.97,10.11,4.02,5.42,13.5,90,90,90
14423,Ir1,0.11 ,1968,10.1103/PhysRev.165.533,14423,orthorhombic,Pmma,196.61,3.25,2.23,7.19,12.24,90,90,90
14424,Ir1.05Nb0.95,4.75 ,1966,10.1002/pssb.19660130214,14437,tetragonal,P4/mmm,64.19,14.75,3.87,4.07,4.07,90,90,90
14425,Ir1.15Nb0.85,4.75 ,,,14437,tetragonal,P4/mmm,64.19,14.75,3.87,4.07,4.07,90,90,90
14426,Ir1.2Os0.8Th1,3.16 ,1982,10.1016/0022-5088(82)90285-5,14441,orthorhombic,Imma,115.34,17.69,5.51,5.51,5.51,123.34,119.69,87.43
14427,Ir1.8Os0.2Th1,5.66 ,1982,10.1016/0022-5088(82)90285-5,14480,cubic,Fd-3m1,113.54,18.03,5.44,5.44,5.44,60,60,60
14428,Ir1.8Ru0.2Th1,4.86 ,1982,10.1016/0022-5088(82)90285-5,14480,cubic,Fd-3m1,113.54,18.03,5.44,5.44,5.44,60,60,60
14429,Ir1La1P1,5.30 ,2014,10.1103/PhysRevB.89.024517,14429,tetragonal,I4_1md,123.84,9.71,4.16,4.16,7.73,105.61,105.61,90
14430,Ir1La1Si1,2.30 ,1982,10.1016/0038-1098(82)91252-2,14430,cubic,P2_13,263.64,9.05,6.41,6.41,6.41,90,90,90
14431,Ir1La1Si3,2.20 ,1984,10.1016/0025-5408(84)90017-5,14431,tetragonal,I4mm,90.78,7.6,4.29,4.29,5.79,111.72,111.72,90
14432,Ir1La3,NaN,,10.1016/0925-8388(93)90160-O,14432,monoclinic,C12/c1,428.92,8.35,6.84,7.38,9.19,94.89,111.86,90
14433,Ir1Lu1,NaN,,10.1103/PhysRev.137.A119,14433,cubic,Pm-3m,36.87,16.53,3.33,3.33,3.33,90,90,90
14434,Ir1Lu3,NaN,,10.1103/PhysRev.137.A119,14434,orthorhombic,Pnma,403.25,11.81,6.24,7.16,9.03,90,90,90
14435,Ir1Mo1,8.80 ,1965,10.1063/1.1754306,14435,orthorhombic,Pmma,59.18,16.17,2.76,4.45,4.82,90,90,90
14436,Ir1Mo3,8.80 ,1972,10.1007/BF00630915,14436,cubic,Pm-3n,125.21,12.73,5,5,5,90,90,90
14437,Ir1Nb1,7.90 ,,,14437,tetragonal,P4/mmm,64.19,14.75,3.87,4.07,4.07,90,90,90
14438,Ir1Nb1Si1,NaN,,10.1016/j.phpro.2016.04.024,14438,orthorhombic,Pnma,178.91,11.63,3.8,6.45,7.3,90,90,90
14439,Ir1Nb3,2.07 ,1972,10.1007/BF00630915,14439,cubic,Pm-3n,138.36,11.3,5.17,5.17,5.17,90,90,90
14440,Ir1Nd1Si1,NaN,,10.1016/0038-1098(82)91252-2,14440,cubic,P2_13,254.44,9.52,6.34,6.34,6.34,90,90,90
14441,Ir1Os1Th1,3.61 ,1982,10.1016/0022-5088(82)90285-5,14441,orthorhombic,Imma,115.34,17.69,5.51,5.51,5.51,123.34,119.69,87.43
14442,Ir1P1Sc1,3.46 ,2016,10.7566/JPSJ.85.013704,14442,hexagonal,P-62m,136.53,9.78,6.35,6.35,3.91,90,90,120
14443,Ir1Sb1,NaN,,,14443,hexagonal,P6_3/mmc,80.04,13.03,4.06,4.06,5.6,90,90,120
14444,Ir1Sc1,NaN,,10.1103/PhysRev.137.A119,14444,cubic,Pm-3m,33.34,11.81,3.22,3.22,3.22,90,90,90
14445,Ir1Sc3,NaN,,10.1103/PhysRev.137.A119,14445,cubic,Fd-3m1,261.51,4.72,7.18,7.18,7.18,60,60,60
14446,Ir1Se2,NaN,,10.1016/0022-3697(65)90244-1,14446,orthorhombic,Pnma,476.94,9.75,3.77,5.99,21.16,90,90,90
14447,Ir1Se2.9,NaN,,10.1016/0022-3697(65)90244-1,14447,trigonal,R-3H,218.51,9.18,6.02,6.02,6.02,90.26,90.26,90.26
14448,Ir1Si1,NaN,,10.1103/RevModPhys.35.1,14448,orthorhombic,Pnma,113.34,12.91,3.24,5.56,6.3,90,90,90
14449,Ir1Si1Ta1,0.50 ,2016,10.1016/j.phpro.2016.04.024,14449,orthorhombic,Pnma,176.65,15.09,3.78,6.41,7.28,90,90,90
14450,Ir1Si1Tb1,NaN,,10.1016/0038-1098(82)91252-2,14450,orthorhombic,Pnma,215.99,11.66,4.25,6.91,7.36,90,90,90
14451,Ir1Si1Th1,6.50 ,1985,10.1016/0025-5408(85)90097-2,14451,tetragonal,I4_1md,125.95,11.93,7.77,7.77,7.77,148.76,148.76,44.77
14452,Ir1Si1Ti1,1.42 ,2016,10.1088/0953-2048/29/3/035011,14452,orthorhombic,Pnma,174.02,10.24,3.86,6.26,7.21,90,90,90
14453,Ir1Si1Y1,2.70 ,1985,10.1016/0025-5408(85)90106-0,14453,orthorhombic,Pnma,215.13,9.55,4.22,6.85,7.44,90,90,90
14454,Ir1Si1Zr1,2.04 ,1986,10.1016/0038-1098(86)90640-X,14454,orthorhombic,Pnma,192.64,10.74,3.97,6.57,7.4,90,90,90
14455,Ir1Si3,NaN,,10.1103/RevModPhys.35.1,14455,hexagonal,P6_3mc,126.96,7.23,4.78,4.78,6.42,90,90,120
14456,Ir1Sn2,0.78 ,1965,10.1016/0022-3697(65)90144-7,14456,cubic,Fm-3m,64.53,11.06,4.5,4.5,4.5,60,60,60
14457,Ir1Sn4,0.93 ,2013,10.1088/0953-8984/25/15/155701,14457,tetragonal,I4_1/acd,464.34,9.54,6.31,6.31,12.5,104.61,104.61,90
14458,Ir1Te2,NaN,,10.1016/0022-3697(65)90244-1,14458,orthorhombic,Pnma,593.91,10.01,4.04,6.44,22.83,90,90,90
14459,Ir1Te2.67,NaN,,,14494,trigonal,R-3H,275.2,9.64,6.51,6.51,6.51,90.84,90.84,90.84
14460,Ir1Te3,1.18 ,1965,10.1016/0022-3697(65)90244-1,14494,trigonal,R-3H,275.2,9.64,6.51,6.51,6.51,90.84,90.84,90.84
14461,Ir1Th1,0.37 ,1965,10.1103/PhysRev.137.A119,14461,orthorhombic,Cmcm,93.94,15,3.9,4.21,6.04,90,108.86,90
14462,Ir1Ti3,5.40 ,,,14462,cubic,Pm-3n,124.98,8.92,5,5,5,90,90,90
14463,Ir1U1,0.14 ,2004,10.1143/JPSJ.73.3129,14463,monoclinic,P12_11,330.52,17.29,10.63,5.6,5.61,81.61,90,90
14464,Ir1V1,NaN,,,14464,orthorhombic,Cmmm,54.53,14.81,2.82,4.43,4.43,98.97,90,90
14465,Ir1V3,NaN,,10.1016/0022-3697(70)90037-5,14465,cubic,Pm-3n,108.03,10.61,4.76,4.76,4.76,90,90,90
14466,Ir1Y4,NaN,,10.1103/PhysRev.137.A119,14466,orthorhombic,Pnma,435.41,7,6.46,7.26,9.28,90,90,90
14467,Ir1Zr2,7.50 ,1974,10.1016/0038-1098(74)90089-1,14467,tetragonal,I4/mcm,122.46,10.16,5.43,5.43,5.43,106.51,106.51,115.57
14468,Ir1Zr3,2.13 ,1971,10.1007/BF00631128,14468,tetragonal,I-42m,332.85,9.3,5.74,8.14,8.14,82.85,69.34,69.34
14469,Ir2Sc1,2.46 ,1959,10.1103/PhysRev.137.A119,14469,cubic,Pm-3m,60.59,17.04,3.93,3.93,3.93,90,90,90
14470,Ir2.76Nb1Pt0.24,NaN,,,14490,hexagonal,P6_3/mmc,119.78,18.56,5.57,5.57,4.47,90,90,120
14471,Ir2La1,0.48 ,1965,10.1103/PhysRev.137.A119,14471,cubic,Fd-3m1,114.56,15.17,5.45,5.45,5.45,60,60,60
14472,Ir2La1Si2,1.55 ,1984,10.1016/0038-1098(84)90008-5,14472,tetragonal,P4/nmm1,176.27,10.92,4.21,4.21,9.96,90,90,90
14473,Ir2Lu1,2.47 ,1965,10.1103/PhysRev.137.A119,14473,cubic,Fd-3m1,103.91,17.88,5.28,5.28,5.28,60,60,60
14474,Ir2P1,NaN,,10.1016/0022-3697(63)90022-2,14474,cubic,Fm-3m,42.91,16.07,3.93,3.93,3.93,60,60,60
14475,Ir2Sc1,2.07 ,,,14475,cubic,Fd-3m1,100.22,14.23,5.21,5.21,5.21,60,60,60
14476,Ir2Si2Th1,2.22 ,1984,10.1016/0038-1098(84)90008-5,14476,tetragonal,P4/nmm1,173.8,12.85,4.19,4.19,9.91,90,90,90
14477,Ir2Si2U1,1.10 ,1984,10.1016/0038-1098(84)90008-5,14477,tetragonal,P4/nmm1,167.84,13.43,4.14,4.14,9.79,90,90,90
14478,Ir2Si2Y1,2.78 ,1984,10.1016/0038-1098(84)90008-5,14478,tetragonal,P4/nmm1,162.94,10.79,4.1,4.1,9.71,90,90,90
14479,Ir2Sr1,5.70 ,1957,10.1103/PhysRev.107.1558,14479,cubic,Fd-3m1,114.62,13.68,5.45,5.45,5.45,60,60,60
14480,Ir2Th1,6.50 ,1961,10.1016/0022-3697(61)90066-X,14480,cubic,Fd-3m1,113.54,18.03,5.44,5.44,5.44,60,60,60
14481,Ir2U1,NaN,,,14481,cubic,Fd-3m1,107.04,19.31,5.33,5.33,5.33,60,60,60
14482,Ir2Y1,2.18 ,1969,10.1007/BF00627932,14482,cubic,Fd-3m1,107.57,14.61,5.34,5.34,5.34,60,60,60
14483,Ir2Y3,1.61 ,1965,10.1103/PhysRev.137.A119,14483,tetragonal,I4/mcm,1614.64,9.38,14.95,14.95,14.95,135.59,135.59,64.61
14484,Ir2Yb1,NaN,,10.1103/PhysRev.115.1595,14484,cubic,Fd-3m1,107.03,17.3,5.33,5.33,5.33,60,60,60
14485,Ir2Zr1,4.10 ,1961,10.1016/0022-3697(61)90066-X,14485,cubic,Fd-3m1,102.85,15.36,5.26,5.26,5.26,60,60,60
14486,Ir3Lu1.92Sc0.08Si5,3.10 ,2012,10.1103/PhysRevB.86.024524,14489,orthorhombic,Ibam,322.76,10.98,8.06,8.06,8.06,138.26,103.61,91.1
14487,Ir3Lu1.96Sc0.04Si5,2.80 ,2012,10.1103/PhysRevB.86.024524,14489,orthorhombic,Ibam,322.76,10.98,8.06,8.06,8.06,138.26,103.61,91.1
14488,Ir3Lu1.9Sc0.1Si5,3.20 ,2012,10.1103/PhysRevB.86.024524,14489,orthorhombic,Ibam,322.76,10.98,8.06,8.06,8.06,138.26,103.61,91.1
14489,Ir3Lu2Si5,4.43 ,2012,10.1103/PhysRevB.86.024524,14489,orthorhombic,Ibam,322.76,10.98,8.06,8.06,8.06,138.26,103.61,91.1
14490,Ir3Nb1,NaN,,,14490,hexagonal,P6_3/mmc,119.78,18.56,5.57,5.57,4.47,90,90,120
14491,,,,,,,,,,,,,,,
14492,Ir3Si5Tb2,NaN,,10.1103/PhysRevB.70.064403,14492,orthorhombic,Ibam,335.37,10.25,8.15,8.15,8.15,137.99,104.53,90.35
14493,Ir3Si5Y2,2.96 ,2004,10.1103/PhysRevB.70.064403,14493,orthorhombic,Ibam,334.78,8.88,8.14,8.14,8.14,137.91,104.37,90.55
14494,Ir3Te8,1.80 ,2013,10.1103/PhysRevB.87.174510,14494,trigonal,R-3H,275.2,9.64,6.51,6.51,6.51,90.84,90.84,90.84
14495,Ir3Th7,1.52 ,1961,10.1016/0022-3697(61)90066-X,14495,hexagonal,P6_3mc,555.5,13.16,10.07,10.07,6.33,90,90,120
14496,Ir3U1,NaN,,,14496,cubic,Pm-3m,65.66,20.6,4.03,4.03,4.03,90,90,90
14497,Ir3V1,NaN,,10.1103/RevModPhys.35.1,14497,hexagonal,P6_3/mmc,110.85,18.8,5.43,5.43,4.33,90,90,120
14498,Ir3Y1,3.50 ,1965,10.1103/PhysRev.137.A119,14498,trigonal,R-3mH,211.5,15.68,5.28,5.28,9.26,73.43,73.43,60
14499,Ir3Zr5,NaN,,10.1007/BF00631128,14499,hexagonal,P6_122,938.51,10.96,7.95,7.95,17.17,90,90,120
14500,Ir45Nb55,4.88 ,1980,10.1103/PhysRevB.22.5213,14437,tetragonal,P4/mmm,64.19,14.75,3.87,4.07,4.07,90,90,90
14501,Ir4La3Sn13,2.55 ,2000,Academic Press(2000)p229,14501,cubic,Pm-3n,947.71,9.56,9.82,9.82,9.82,90,90,90
14502,Ir8Lu5Sc5Si20,7.93 ,1986,10.1103/PhysRevB.33.5062,14502,orthorhombic,Amm2,649.72,8.18,12.49,12.49,4.17,90,90,90.01
14503,Ir4Lu5Si10,3.91 ,1986,10.1103/PhysRevB.33.5062,14503,tetragonal,P4/mbm,652.37,9.8,12.49,12.49,4.18,90,90,90
14504,Ir4Sc5Si10,8.50 ,1995,10.1103/PhysRevB.51.8398,14504,tetragonal,P4/mbm,624.48,6.78,12.35,12.35,4.09,90,90,90
14505,Ir4Si10Tm5,1.90 ,1991,10.1103/PhysRevB.43.7668,14505,tetragonal,P4/mbm,660.58,9.52,12.53,12.53,4.21,90,90,90
14506,Ir4Si10Y5,3.10 ,1986,10.1103/PhysRevB.33.5062,14506,tetragonal,P4/mbm,686.99,7.22,12.66,12.66,4.29,90,90,90
14507,Ir4Si10Yb5,NaN,,10.1103/physrevb.43.7688,14507,tetragonal,P4/mbm,685.16,9.28,12.62,12.62,4.3,90,90,90
14508,Ir4Sn13Sr3,7.00 ,2020,10.1103/PhysRevB.101.104511,14508,cubic,Pm-3n,964.46,8.87,9.88,9.88,9.88,90,90,90
14509,Ir5La1,2.13 ,1965,10.1103/PhysRev.137.A119,14509,hexagonal,P6/mmm,109,16.76,4.33,5.39,5.39,60,90,90
14510,Ir5Th1,3.93 ,1965,10.1103/PhysRev.137.A119,14510,hexagonal,P6/mmm,106.18,18.66,5.3,5.3,4.36,90,90,120
14511,K0.18W1O3,3.90 ,1981,10.1103/PhysRevB.23.2219,14511,hexagonal,P6/mmm,361.86,6.56,7.41,7.41,7.62,90,90,120
14512,K0.27W1O3,0.50 ,,,14511,hexagonal,P6/mmm,361.86,6.56,7.41,7.41,7.62,90,90,120
14513,K0.3Mo1O3,NaN,,10.1016/0038-1098(69)90404-9,14513,monoclinic,C12/m1,653.69,3.95,10.25,10.25,10.23,63.16,63.16,44.09
14514,K9W20O60,0.89 ,2014,10.1103/PhysRevB.89.104520,14514,triclinic,P-1,1233.13,6.72,7.84,13.15,13.13,84.72,107.38,107.34
14515,K0.9Mo1O3,NaN,,10.1016/0038-1098(69)90404-9,14515,cubic,Pm-3m,64.23,4.73,4,4,4,90,90,90
14516,K0.9Re1O3,NaN,,10.1016/0038-1098(69)90404-9,14516,tetragonal,I4_1/a,202.3,4.75,7.44,7.44,7.44,135.09,135.09,65.4
14517,K1La1Nb2O7,NaN,,10.1016/S0038-1098(97)00177-4,14517,orthorhombic,Amm2,173.55,4.55,3.93,3.95,11.36,80,90,90
14518,K1Nb0.008Ta0.992O3,NaN,,10.1103/PhysRevB.37.5619,14518,cubic,Pm-3m,63.75,6.98,3.99,3.99,3.99,90,90,90
14519,K1Nb0.012Ta0.988O3,NaN,,10.1103/PhysRevB.37.5619,14518,cubic,Pm-3m,63.75,6.98,3.99,3.99,3.99,90,90,90
14520,K1Nb0.02Ta0.98O3,NaN,,10.1103/PhysRevB.37.5619,14518,cubic,Pm-3m,63.75,6.98,3.99,3.99,3.99,90,90,90
14521,K1Nb0.09Ta0.91O3,NaN,,10.1103/PhysRevB.37.5619,14518,cubic,Pm-3m,63.75,6.98,3.99,3.99,3.99,90,90,90
14522,K1Nb0.21Ta0.79O3,NaN,,10.1103/PhysRevB.37.5619,14518,cubic,Pm-3m,63.75,6.98,3.99,3.99,3.99,90,90,90
14523,K1Nb0.36Ta0.64O3,NaN,,10.1103/PhysRevB.37.5619,14523,cubic,Fm-3m,132.31,5.62,5.72,5.72,5.72,60,60,60
14524,K1Ni2S2,0.46 ,2013,10.1103/PhysRevB.87.045124,14524,tetragonal,I4/mmm,91.15,4.02,6.82,6.82,6.82,147.5,147.5,46.63
14525,K1Ni2Se2,0.80 ,2012,10.1103/PhysRevB.86.054512,14525,tetragonal,I4/mmm,102.09,5.11,7.25,7.25,7.25,148.75,148.75,44.78
14526,K1Os2O6,9.80 ,2004,10.1143/JPSJ.73.1651,14526,cubic,Fd-3m1,260.37,6.58,7.17,7.17,7.17,60,60,60
14527,K1S8V6,0.71 ,2001,10.1016/S0038-1098(01)00333-7,14527,,,,,,,,,,
14528,K1Sb1,NaN,,10.1103/PhysRev.87.799,14528,monoclinic,P12_1/c1,618.12,3.46,7,7.23,12.31,97.08,90,90
14529,K1Tl1.5,NaN,,10.1016/0379-6779(83)90038-3,14529,cubic,Fd-3m1,484.21,6.14,8.81,8.81,8.81,60,60,60
14530,K2Mo15Se19,2.10 ,1985,10.1016/0025-5408(85)90077-7,14530,trigonal,R-3cH,1660.37,6.04,9.9,9.9,20.37,75.94,75.94,60
14531,K2Mo6Se6,NaN,,10.1103/PhysRevB.64.064514,14531,hexagonal,P6_3/m,329.31,5.69,9.2,9.2,4.49,90,90,120
14532,K2Te3,NaN,,,14532,orthorhombic,Pnma,764.34,4.01,4.66,10.22,16.04,90,90,90
14533,La0.006Si1V2.994,16.48 ,1965,"AZV.AKAD.NAUK SSSR,1(1965)354",15643,cubic,Pm-3n,102.74,5.85,4.68,4.68,4.68,90,90,90
14534,La0.02Os4Pr0.98Sb12,1.80 ,2006,10.1103/PhysRevB.73.014515,15179,cubic,Im-3,410.91,9.55,8.11,8.11,8.11,109.47,109.47,109.47
14535,La0.05Os4Pr0.95Sb12,1.84 ,2006,10.1143/JPSJ.75.124702,15179,cubic,Im-3,410.91,9.55,8.11,8.11,8.11,109.47,109.47,109.47
14536,La0.06Pb3Th0.94,5.58 ,1970,10.1016/0022-3697(70)90261-1,15262,cubic,Pm-3m,117.3,12.08,4.9,4.9,4.9,90,90,90
14537,La0.06Si1V2.94,15.92 ,1965,"AZV.AKAD.NAUK SSSR,1(1965)354",15643,cubic,Pm-3n,102.74,5.85,4.68,4.68,4.68,90,90,90
14538,La0.1Os4Pr0.9Sb12,1.70 ,2006,10.1103/PhysRevB.73.014515,15179,cubic,Im-3,410.91,9.55,8.11,8.11,8.11,109.47,109.47,109.47
14539,La0.1Ru2Th0.9,4.73 ,1986,10.1103/PhysRevB.33.162,15542,cubic,Fd-3m1,111.61,12.92,5.4,5.4,5.4,60,60,60
14540,La0.1Sr0.9Ti1O3,NaN,,10.1103/physrevb.48.7636,14540,triclinic,P-1,1228.99,5.1,9.66,11.16,12.47,77.03,75.08,73.35
14541,La0.22Sr1.78Ti1O4,NaN,,10.1016/0022-5088(90)90497-8,14541,tetragonal,I4/mmm,95.6,4.99,3.9,3.9,6.87,106.46,106.46,90
14542,La0.25Sn3Th0.75,3.94 ,1970,10.1016/0022-3697(70)90261-1,15680,cubic,Pm-3m,106.74,9.15,4.74,4.74,4.74,90,90,90
14543,La0.28Pt0.72,0.54 ,,,14625,cubic,Fd-3m1,119.74,14.67,5.53,5.53,5.53,60,60,60
14544,La0.2Os4Pr0.8Sb12,1.80 ,2006,10.1143/JPSJ.75.124702,15179,cubic,Im-3,410.91,9.55,8.11,8.11,8.11,109.47,109.47,109.47
14545,La0.3Os4Pr0.7Sb12,1.53 ,2006,10.1103/PhysRevB.73.014515,15179,cubic,Im-3,410.91,9.55,8.11,8.11,8.11,109.47,109.47,109.47
14546,La0.3Sr0.7Ti1O3,NaN,,10.1103/physrevb.48.7636,11567,cubic,Pm-3m,60.22,5.06,3.92,3.92,3.92,90,90,90
14547,La0.48Y0.52,1.00 ,1966,"Ann.Acad.Sci.Finnicae A, VI No.210(1966)p=92",14547,hexagonal,P6_3/mmc,141.94,5.33,3.71,3.71,11.91,90,90,120
14548,La0.5Sr0.5Ti1O3,NaN,,10.1103/physrevb.48.7636,14588,trigonal,P-3m1,184.52,5.88,5.59,5.59,6.83,90,90,120
14549,La0.75Pb3Pr0.25,0.80 ,1968,"HELV.PHYS.ACTA,41(1968)723",14618,cubic,Pm-3m,121.16,10.42,4.95,4.95,4.95,90,90,90
14550,La0.76Pb3Th0.24,1.46 ,1970,10.1016/0022-3697(70)90261-1,14618,cubic,Pm-3m,121.16,10.42,4.95,4.95,4.95,90,90,90
